"symbol","date","open","high","low","close","volume","adjusted","returns"
"TPMA.JK",2017-06-16,234,240,202,216,139800,120.866233825684,-0.105360515657826
"TPMA.JK",2017-06-19,210,214,206,208,9400,116.389694213867,-0.0377403279828471
"TPMA.JK",2017-06-20,208,218,204,218,24400,121.985366821289,0.0469569830877711
"TPMA.JK",2017-06-21,218,218,218,218,200,121.985366821289,0
"TPMA.JK",2017-06-22,222,222,214,216,300,120.866233825684,-0.00921665510492395
"TPMA.JK",2017-06-23,216,216,216,216,0,120.866233825684,0
"TPMA.JK",2017-06-26,216,216,216,216,0,120.866233825684,0
"TPMA.JK",2017-06-27,216,216,216,216,0,120.866233825684,0
"TPMA.JK",2017-06-28,216,216,216,216,0,120.866233825684,0
"TPMA.JK",2017-06-29,216,216,216,216,0,120.866233825684,0
"TPMA.JK",2017-06-30,216,216,216,216,0,120.866233825684,0
"TPMA.JK",2017-07-03,216,216,206,206,800,115.270584106445,-0.0474022388945839
"TPMA.JK",2017-07-04,206,236,202,214,10000,119.747093200684,0.0380998462322704
"TPMA.JK",2017-07-05,210,220,208,212,2800,118.627960205078,-0.00938974034983903
"TPMA.JK",2017-07-06,232,242,210,210,8200,117.508842468262,-0.00947874395454377
"TPMA.JK",2017-07-07,230,244,214,214,43100,119.747093200684,0.0188684843043827
"TPMA.JK",2017-07-10,214,214,214,214,0,119.747093200684,0
"TPMA.JK",2017-07-11,222,222,208,208,2200,116.389694213867,-0.0284379353205335
"TPMA.JK",2017-07-12,208,208,200,200,700,111.913192749023,-0.0392207131532813
"TPMA.JK",2017-07-13,216,256,200,208,30800,116.389694213867,0.0392207131532813
"TPMA.JK",2017-07-14,206,206,200,200,3000,111.913192749023,-0.0392207131532813
"TPMA.JK",2017-07-17,202,202,200,200,8100,111.913192749023,0
"TPMA.JK",2017-07-18,200,204,200,200,3400,111.913192749023,0
"TPMA.JK",2017-07-19,200,200,200,200,4200,111.913192749023,0
"TPMA.JK",2017-07-20,220,220,200,200,34100,111.913192749023,0
"TPMA.JK",2017-07-21,200,200,200,200,1200,111.913192749023,0
"TPMA.JK",2017-07-24,200,216,200,200,4200,111.913192749023,0
"TPMA.JK",2017-07-25,200,200,198,198,4700,110.794036865234,-0.0100503358535015
"TPMA.JK",2017-07-26,198,198,180,186,25400,104.079246520996,-0.0625203569813339
"TPMA.JK",2017-07-27,186,186,182,182,1200,101.84098815918,-0.0217399866364059
"TPMA.JK",2017-07-28,182,187,180,187,5900,104.638801574707,0.0271019297777912
"TPMA.JK",2017-07-31,183,184,182,184,30000,102.960121154785,-0.016172859245601
